No_RUTA;No_Individu;weight_final;PSU;SEX
35346;39303;210;15794;1
35347;39304;863;15794;2
35348;39305;766;15795;1
35353;39310;887;15783;2
35363;39320;866;15784;1
35364;39321;863;15796;2
35365;39322;283;15796;1
35365;39323;283;15796;1
35371;39329;393;15797;1
35372;39330;266;15797;2
35373;39331;476;15798;1
35374;39332;594;15799;1
35375;39333;745;15800;1
35376;39334;869;15800;1
35380;39338;534;15785;2
35381;39339;555;15801;2
35382;39340;473;15802;1
35383;39341;493;15802;1
35386;39344;692;15786;2
35387;39345;384;15803;2
35388;39346;615;15803;2
35390;39348;524;15787;2
35391;39349;870;15787;2
35392;39350;907;15787;2
35393;39351;729;15787;1
35394;39352;771;15804;1
35395;39353;172;15804;1
35395;39354;172;15804;1
35396;39355;576;15804;1
35397;39356;841;15805;1
35398;39357;120;15805;1
35399;39358;474;15805;1
35400;39359;227;15806;2
35401;39360;249;15806;1
35402;39361;496;15806;2
35406;39365;639;15788;2
35408;39367;250;15809;1
35408;39368;250;15809;1
35408;39369;250;15809;1
35411;39372;455;15810;2
35412;39373;404;15810;1
35413;39374;466;15789;1
35414;39375;662;15811;2
35417;39378;897;15812;1
35418;39379;1028;15812;2
35419;39380;433;15813;1
35420;39381;276;15813;1
35421;39382;609;15813;2
35422;39383;697;15813;1
35423;39384;578;15814;2
35424;39385;727;15790;2
35425;39386;548;15790;1
35426;39387;289;15816;2
35427;39388;382;15817;1
35428;39389;548;15817;1
35429;39390;276;15817;1
35433;39394;649;15818;2
35434;39395;575;15818;1
35441;39402;7;15819;1
35442;39403;339;15819;1
35443;39404;554;15819;1
35444;39405;471;15791;2
35445;39406;878;15791;2
35446;39407;458;15792;1
35447;39408;508;15792;2
35454;39415;448;15820;1
35456;39417;288;15821;2
35457;39418;206;15821;1
35458;39419;853;15821;2
35467;39428;315;15822;1
35468;39429;517;15823;2
35469;39430;717;15823;2
35473;39434;10;15824;1
35474;39435;209;15824;1
35475;39436;703;15824;1
35479;39440;228;15793;1
35480;39441;13;15793;1
35481;39442;501;15826;1
35482;39443;820;15826;2
35483;39444;633;15826;2
